timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1608485923754,3545,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-50,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3545,0,1
1608485927299,397,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,396,0,0
1608485924299,3436,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-45,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3170,0,0
1608485924299,3170,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-45,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3170,0,0
1608485927469,266,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-45,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,265,0,0
1608485924450,3411,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-25,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3253,0,0
1608485924450,3253,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-25,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3253,0,0
1608485927703,158,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-25,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,157,0,0
1608485924377,3493,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-8,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3201,0,1
1608485924377,3201,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-8,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3201,0,1
1608485927579,291,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-8,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,290,0,0
1608485923965,3949,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3406,0,1
1608485923965,3406,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-49,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3406,0,1
